"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"10470175";"227627";"Obp2a";5,7074163621923;7,36410713413537;37,9769307123376;1,50929079508095e-12;5,09766509804821e-09;18,9480988661281
"2";"10351443";"110648";"Lmx1a";5,77982467029576;9,60024622268186;36,9224410453516;2,02208056249433e-12;5,09766509804821e-09;18,7106979594583
"3";"10403796";"218038";"Amph";5,65419808129965;8,31661973892181;34,7367676717696;3,80964714329246e-12;6,33008610622089e-09;18,1851286382314
"4";"10522388";"231290";"Slc10a4";5,53131791825052;8,43170670610143;33,3640952980645;5,78761184890673e-12;6,33008610622089e-09;17,8299300885776
"5";"10469358";"17533";"Mrc1";-5,37121010565815;7,74774275246231;-33,1037181012673;6,27735631319009e-12;6,33008610622089e-09;17,7602072139587
"6";"10531869";"26414";"Mapk10";5,75197557937797;8,78504932702866;31,7833616585794;9,57126920243626e-12;7,0602194528798e-09;17,3944601241459
"7";"10400926";"104001";"Rtn1";5,28127720769015;9,12688556655158;31,6427063070685;1,00212816528445e-11;7,0602194528798e-09;17,3542569554817
"8";"10499189";"80891";"Fcrls";-4,97324550147935;7,91668063869214;-31,3041877179122;1,12022522060766e-11;7,0602194528798e-09;17,2564844982339
"9";"10482772";"18227";"Nr4a2";4,71424942832294;10,3274566841295;29,9914446574269;1,74544464245894e-11;8,83399236209774e-09;16,8632748596571
"10";"10455942";"225583";"Minar2";5,00894252486602;7,93734767322478;29,897683514586;1,80292071788885e-11;8,83399236209774e-09;16,8343042864595
"11";"10464370";"214084";"Slc18a2";5,2439306399871;8,40464488084013;29,7055386702822;1,92728909129463e-11;8,83399236209774e-09;16,7745534831132
"12";"10382341";"20606";"Sstr2";4,76224664399545;8,90092749608024;28,2849404853507;3,19889032530504e-11;1,22067069574384e-08;16,3163044046639
"13";"10362372";"212448";"9330159F19Rik";4,51831161875096;7,64924398384523;28,2794623009051;3,20529980214484e-11;1,22067069574384e-08;16,3144790888217
"14";"10345791";"17082";"Il1rl1";-4,24641516506251;8,08063531531962;-28,1270289885638;3,38940692987183e-11;1,22067069574384e-08;16,2635032813611
"15";"10497713";"58869";"Pex5l";4,66592009360928;8,44015956306173;27,8772713224256;3,71658108977809e-11;1,24926679031074e-08;16,1792000415586
"16";"10517513";"12262";"C1qc";-4,24650480633365;7,90145012128266;-27,5397125994145;4,21494348533341e-11;1,32823406581569e-08;16,0636941259917
"17";"10466200";"109225";"Ms4a7";-5,23115590750575;7,83898265324474;-26,6007204863652;6,02993692268506e-11;1,70642863006115e-08;15,7325918511369
"18";"10469816";"16181";"Il1rn";-4,19348904557437;8,74058362433051;-26,5743462627272;6,09197051588668e-11;1,70642863006115e-08;15,7230776323551
"19";"10477986";"18111";"Nnat";4,37136951590366;10,4194868654817;26,0664790639769;7,43360678898294e-11;1,97264449631853e-08;15,5375086861115
"20";"10386211";"75429";"Fam183b";4,19200484077176;7,71904509117008;25,8705044532605;8,03515291065265e-11;2,02566204877553e-08;15,4646809119223
"21";"10540401";"16979";"Lrrn1";5,92746621533165;8,76188071376195;25,7106509485325;8,565339530749e-11;2,05649723400174e-08;15,4047627644374
"22";"10585484";"110835";"Chrna5";4,15947657138983;7,35673793369559;25,3185135486616;1,00354178310523e-10;2,29993530473481e-08;15,255787927701
"23";"10560919";"232975";"Atp1a3";5,08134784819143;9,02485430237306;25,1117024091894;1,09202621540431e-10;2,39391138176893e-08;15,1760603360692
"24";"10363082";"14728";"Lilrb4a";-3,96086343742551;7,76193692837063;-24,2885726698102;1,53906563069725e-10;3,23332037915648e-08;14,8505272614763
"25";"10563597";"20210";"Saa3";3,45161149442536;11,2652164058833;23,9467750135815;1,78065685237699e-10;3,59122873987392e-08;14,711365747456
"26";"10446965";"240168";"Rasgrp3";-3,58754188653486;6,95461918262285;-23,8419991414589;1,86280191355873e-10;3,61240278775504e-08;14,6682233445995
"27";"10569370";"21823";"Th";5,92471584243012;8,96414503994855;23,4675331081066;2,19207109462201e-10;4,09348979966081e-08;14,5121412756678
"28";"10476633";"18549";"Pcsk2";4,91102252051306;8,84636010309269;23,3813596602733;2,27654256764324e-10;4,09940272359186e-08;14,4757985322794
"29";"10547657";"12267";"C3ar1";-5,01048925397649;8,95791199698526;-22,9493855570673;2,75729326527577e-10;4,79388711845532e-08;14,2911687925671
"30";"10573979";"14681";"Gnao1";3,59597742854299;9,91300764843511;22,6934964405037;3,09376858724697e-10;5,1995937389664e-08;14,1798345152771
"31";"10602896";"237175";"Adgrg2";-3,77562265098207;8,22448493451092;-22,6052479597548;3,22002378401631e-10;5,23721287710007e-08;14,1410927557681
"32";"10606835";"12069";"Bex2";5,32944055424503;8,94956226565651;22,3963465988853;3,54194579713322e-10;5,53796597821409e-08;14,0486661077638
"33";"10505489";"18491";"Pappa";-3,40796136580029;8,34918927100599;-22,3460482571964;3,62461081477717e-10;5,53796597821409e-08;14,0262599825002
"34";"10356177";"227325";"Dner";3,77979113141046;9,50975422643966;22,1821185043275;3,90901737717967e-10;5,7968428281588e-08;13,9528209148409
"35";"10517517";"12259";"C1qa";-3,24292585982331;7,86401853844023;-22,0696861151748;4,11815860103836e-10;5,93250161898154e-08;13,9020825419662
"36";"10377938";"13808";"Eno3";4,12002429887169;10,1724928576803;21,9955455037023;4,26275307757179e-10;5,94402234414004e-08;13,8684583274136
"37";"10606868";"19716";"Bex1";6,25711538856722;7,82975845226098;21,9462626560719;4,36193626999566e-10;5,94402234414004e-08;13,8460340838335
"38";"10431625";"54526";"Syt10";4,48212822424665;7,86184417215387;21,7827968946633;4,70941743719855e-10;6,24865334693555e-08;13,7712317930467
"39";"10558400";"100043254";"Nps";3,53857500124706;6,96916916142501;21,6661444602448;4,97587083745617e-10;6,43290788780872e-08;13,7174498512369
"40";"10408359";"22360";"Nrsn1";4,1799200252673;7,66569446270871;21,3697230397824;5,73014450530731e-10;7,22284714893986e-08;13,579258013453
"41";"10494271";"13040";"Ctss";-4,27516000136437;8,93621085634069;-21,2528566410854;6,06117147869484e-10;7,2810834316355e-08;13,5241631029438
"42";"10412066";"67295";"Rab3c";4,93779256406484;7,12849128930773;21,2514904953124;6,06516271576143e-10;7,2810834316355e-08;13,5235169848132
"43";"10450325";"14962";"Cfb";3,76990892051636;9,49513780701287;20,9973751849305;6,86006755996512e-10;8,04382805519631e-08;13,4024929153804
"44";"10584024";"330908";"Opcml";3,95227080091398;8,89299597746938;20,7452402419386;7,76271372073211e-10;8,38441538214279e-08;13,2807362043622
"45";"10465820";"14704";"Gng3";5,05896886151448;8,76816341858712;20,7426447796036;7,77265590426274e-10;8,38441538214279e-08;13,2794740432615
"46";"10593756";"110834";"Chrna3";4,77738847976305;7,86380149933964;20,7314499730139;7,81569859104941e-10;8,38441538214279e-08;13,2740279902034
"47";"10601903";"66995";"Zcchc18";3,3897717132167;8,22525775521669;20,6674837482939;8,06669515147217e-10;8,47339103202556e-08;13,2428450307565
"48";"10426425";"239618";"Pdzrn4";3,43486877747325;7,2429859039253;20,5823772784091;8,41440719518767e-10;8,65825328125229e-08;13,201185011162
"49";"10409876";"13024";"Ctla2a";-4,46621318158762;7,20109564774113;-20,4768403748667;8,86853752294549e-10;8,76767964523356e-08;13,1492504358523
"50";"10351679";"12523";"Cd84";-3,43450142593815;6,54304394964272;-20,3653072808506;9,37777909147731e-10;9,09283888062088e-08;13,0940328680749
"51";"10597323";"74100";"Arpp21";3,22169430548024;7,37712494292884;20,2402379812253;9,98716251793706e-10;9,40423793356494e-08;13,031703690936
"52";"10553430";"104245";"Slc6a5";3,89288179587772;8,01121190381428;20,2234954624301;1,00719724000894e-09;9,40423793356494e-08;13,0233267896435
"53";"10536334";"13426";"Dync1i1";4,08663579218896;7,56406047825028;19,7293775921736;1,29665268067294e-09;1,18867687562781e-07;12,7725114094204
"54";"10532180";"12889";"Cplx1";3,35915033029527;8,46169357036785;19,6134355035093;1,37703580465424e-09;1,23198462163847e-07;12,712634382578
"55";"10540085";"14115";"Fbln2";-3,35914971450251;9,37663585068375;-19,5916171230493;1,39276325730649e-09;1,23198462163847e-07;12,7013221652053
"56";"10363070";"14727";"Lilr4b";-4,12025231946149;7,60025856351181;-19,5516308609366;1,42209895272487e-09;1,2362453309722e-07;12,6805537513959
"57";"10483228";"20269";"Scn3a";4,13112798641081;6,90306518841011;19,4496367907192;1,50003120294037e-09;1,28189107207209e-07;12,6273633156122
"58";"10452316";"12266";"C3";3,58403476507831;10,5337100646603;19,1330605672491;1,77321321179406e-09;1,49009016897761e-07;12,4602645729813
"59";"10510260";"18158";"Nppb";3,70978222464385;8,895832296846;19,0876807846028;1,8166445253639e-09;1,49033892897395e-07;12,4360599942658
"60";"10548940";"109593";"Lmo3";3,58564835725792;8,04475942571575;19,0001728253147;1,90371546236332e-09;1,52357672400569e-07;12,3892045243786
"61";"10416175";"18039";"Nefl";3,70987410550942;7,84088071353772;18,9483345168037;1,95743956721831e-09;1,54209535904917e-07;12,3613352510605
"62";"10427744";"75646";"Rai14";-3,1454577626397;9,01092832140005;-18,8387205133142;2,07658107286154e-09;1,61078796451813e-07;12,3021260703868
"63";"10460947";"19309";"Pygm";4,00124634693218;8,15805526586173;18,6388153672557;2,31479645437925e-09;1,76836420045154e-07;12,1931603075248
"64";"10555389";"22228";"Ucp2";3,03467735331659;9,62474807775996;18,5929345686225;2,37358657173382e-09;1,78621246189282e-07;12,1679697970549
"65";"10417628";"27062";"Cadps";4,98050090964185;7,26493044675147;18,5380047792011;2,44612757319672e-09;1,8055598391441e-07;12,1377210632172
"66";"10588592";"56808";"Cacna2d2";3,9504738310965;8,22507358182011;18,5097169351401;2,48442728091345e-09;1,8055598391441e-07;12,1221051255484
"67";"10410995";"19418";"Rasgrf2";4,01804743256472;7,27833655991237;18,4613922781045;2,5513804475053e-09;1,8055598391441e-07;12,0953675018103
"68";"10476628";"57329";"Otor";4,31292376702807;10,1877882547641;18,4423181759624;2,57834804479125e-09;1,8055598391441e-07;12,0847928489519
"69";"10421100";"18040";"Nefm";4,17252512321469;8,5167472325492;18,3461656579056;2,71912093284899e-09;1,87805585526364e-07;12,0313031469108
"70";"10476512";"20614";"Snap25";5,25814286806176;8,72199890152749;18,2792820915386;2,82198894188212e-09;1,92276597904995e-07;11,993914742532
"71";"10501754";"229791";"Plppr4";3,65922843035077;8,06661643944836;18,244324111848;2,87744126779041e-09;1,93273705397735e-07;11,9743135002426
"72";"10385391";"76884";"Cyfip2";3,63751004591442;8,57072393156928;18,2221149404557;2,91328869699084e-09;1,93273705397735e-07;11,9618393322116
"73";"10466210";"68774";"Ms4a6d";-3,29070037108158;7,11246369615847;-18,0661858440718;3,17914649622954e-09;2,02901982708726e-07;11,8737900419671
"74";"10542164";"232413";"Clec12a";-3,05573238537226;6,72529674614522;-18,0123085058719;3,27708012369258e-09;2,06537974795725e-07;11,8431745800617
"75";"10495675";"14066";"F3";-3,11257275477501;8,2993282477867;-17,7133013559094;3,88414697149693e-09;2,38827671101068e-07;11,6714415500367
"76";"10492689";"54635";"Pdgfc";-3,19482277233123;8,75911602493921;-17,6189693307975;4,10038423843132e-09;2,4868616520704e-07;11,616611780512
"77";"10565152";"26557";"Homer2";4,08990192394164;7,91241453292294;17,6009677948054;4,14312532276704e-09;2,4868616520704e-07;11,6061125887052
"78";"10506274";"72685";"Dnajc6";3,09511687009656;7,57243464743938;17,5477419382616;4,2723729993651e-09;2,53427113679987e-07;11,5750014756246
"79";"10474700";"21825";"Thbs1";-3,17869315166709;11,1881167223855;-17,524353163877;4,33055543503743e-09;2,53891401203008e-07;11,5612983587835
"80";"10469672";"14417";"Gad2";5,15261252242856;8,32268699373556;17,4951446711642;4,40443397965586e-09;2,55254668108331e-07;11,5441579319375
"81";"10523134";"56744";"Pf4";-3,73676336304545;7,08526215464736;-17,4276825946777;4,58038784121066e-09;2,62435403356638e-07;11,5044514024222
"82";"10578264";"20288";"Msr1";-3,73350043832983;7,22084790050529;-17,2499521816816;5,08181501146476e-09;2,87893385256239e-07;11,3990497444425
"83";"10390860";"94179";"Krt23";4,3828562703023;7,53770808958627;17,2010799707474;5,22999678144443e-09;2,92996041911587e-07;11,369862746408
"84";"10519497";"117167";"Steap4";3,65316232889913;9,44863813848405;17,0635708844357;5,67286044639362e-09;3,11865333181716e-07;11,2872637459911
"85";"10439695";"56370";"Tagln3";3,79313224063416;8,93836987067258;17,0545302017848;5,70337996909919e-09;3,11865333181716e-07;11,2818083602054
"86";"10360418";"24012";"Rgs7";4,04851787414936;6,58903319242975;17,0221328923666;5,81422874238026e-09;3,11865333181716e-07;11,2622336663196
"87";"10409616";"20745";"Spock1";4,11900142157627;8,68584218877152;16,9787770846508;5,96627113883901e-09;3,1335353210444e-07;11,2359756835553
"88";"10363455";"13180";"Pcbd1";3,21684977197027;8,68468589103845;16,8897255571211;6,29236685794269e-09;3,23735854058643e-07;11,1818184596521
"89";"10441195";"13508";"Dscam";3,26691579271185;6,84751561319952;16,8655135328086;6,38435976422267e-09;3,25150928598088e-07;11,1670413726626
"90";"10515095";"15572";"Elavl4";4,13785469131318;7,08292240180523;16,7478920561195;6,85266632576796e-09;3,38736702103158e-07;11,0949333714869
"91";"10531737";"15442";"Hpse";3,46842540581982;8,50938003948214;16,718277147371;6,97640514289696e-09;3,41505191558121e-07;11,0766934627006
"92";"10529979";"19017";"Ppargc1a";3,7946126784864;8,23099640567113;16,6878567777148;7,10605530164453e-09;3,44507027220113e-07;11,057921884654
"93";"10464471";"14419";"Gal";3,83736606203793;7,6658221594378;16,6414904669725;7,30875744105442e-09;3,47648632243362e-07;11,0292408829052
"94";"10439651";"17470";"Cd200";3,65187482158622;8,64431384836224;16,5993341761176;7,49854503261948e-09;3,53342654714649e-07;11,0030908230081
"95";"10355960";"20254";"Scg2";3,45118150115997;9,04493481234394;16,5434657350067;7,75840669151719e-09;3,54558295162991e-07;10,9683268982574
"96";"10369132";"75906";"Fam184a";3,15387389881841;7,62020234896009;16,530292854827;7,82110072569638e-09;3,54558295162991e-07;10,9601121117237
"97";"10502881";"26938";"St6galnac5";3,52002212180661;7,82783700009429;16,5260067262104;7,84161896124514e-09;3,54558295162991e-07;10,957437738115
"98";"10595033";"20255";"Scg3";4,79648352898446;7,92366703855274;16,5110618921011;7,9136229701174e-09;3,54558295162991e-07;10,9481070440909
"99";"10523145";"20309";"Cxcl15";-4,31528927700976;8,14250272288203;-16,5043349280686;7,94626881265727e-09;3,54558295162991e-07;10,9439042147665
"100";"10461721";"17476";"Mpeg1";-4,08826778113241;7,15069038147803;-16,4506270093345;8,21225052425943e-09;3,63211992485229e-07;10,9102841872839
"101";"10489545";"21925";"Tnnc2";3,79215700342349;8,44633253948057;16,3450880960004;8,7637000563138e-09;3,84231092903776e-07;10,8438819167994
"102";"10485955";"20394";"Scg5";4,15713317361201;9,11120190338416;16,2919171077099;9,05673965931109e-09;3,93551419156481e-07;10,8102576336078
"103";"10364102";"103172";"Chchd10";3,04770308314953;8,94300154181183;16,2493314095142;9,29916264728518e-09;3,9734218701366e-07;10,7832443077062
"104";"10581605";"15439";"Hp";4,1850277298366;10,132097066404;16,1994129745137;9,59238912599236e-09;4,06427109018937e-07;10,7514851887616
"105";"10485550";"241589";"D430041D05Rik";3,31942397814317;7,80211739053724;16,1592856924212;9,83542613584338e-09;4,10229698973788e-07;10,7258811696681
"106";"10601385";"279572";"Tlr13";-3,01892908654689;6,87013550394115;-16,097839728105;1,02207161674627e-08;4,22400417347106e-07;10,6865454427452
"107";"10517508";"12260";"C1qb";-3,05392988823658;7,77704652561652;-16,0665262657117;1,04233793363636e-08;4,27273809869476e-07;10,6664393089862
"108";"10593767";"108015";"Chrnb4";3,39053322968965;8,12298133243624;15,9871502876308;1,09570429767232e-08;4,38455640386021e-07;10,6152892148347
"109";"10505614";"22178";"Tyrp1";4,42233552770144;8,13743285688482;15,970245401637;1,10745103915896e-08;4,3966678263303e-07;10,6043615363397
